NO,NAMA PPIU,NOMOR SK,KONTAK & ALAMAT,CABANG,
18,"PT CAHAYA HAROMAIN UTAMA
Akreditasi: C
Tgl Akreditasi: 01-04-2021
Lembaga Akreditasi: -
STATUS DAFTAR HITAM: TIDAK","NOMOR U.185 TAHUN 2021
TGL SK: 01-04-2021
DIREKTUR: MUHAMMAD SIRAJUDDIN","JL. GOA RIA NO. B7, KELURAHAN SUDIANG, KECAMATAN BIRINGKANAYA, KOTA MAKASSAR, PROVINSI SULAWESI SELATAN, KODE POS 90242 TELP. 04114731316 EMAIL: CHU.OFFICETRAVEL@GMAIL.COM",0,Detail
19,"PT DHIFA AZIZAH
Akreditasi: B
Tgl Akreditasi: 25-01-2024
Lembaga Akreditasi: PT DIFAYA TERAMPIL MANDIRI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.200 TAHUN 2021
TGL SK: 01-04-2021
DIREKTUR: H. M. FAHMI ABDUL ROHMAN","KP. CITARINGGUL RT. 002 RW. 001, KEL. CITARINGGUL, KEC. BABAKAN MADANG, KAB. BOGOR, PROV. JAWA BARAT TELP. 02184200122 EMAIL: DHIFA.AZIZAH20@GMAIL.COM",0,Detail
20,"PT DIAN TIRTA WISATA
Akreditasi: A
Tgl Akreditasi: 27-03-2023
Lembaga Akreditasi: PT. EKUALINDO ARTHA SINERGI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.201 TAHUN 2021
TGL SK: 01-04-2021
DIREKTUR: DRS. SYAMSUDIN M.PD",JL KRAMAT 2 NO. 13B RT. 001 RW 008 KELURAHAN KWITANG KECAMATAN SENEN KOTA ADMINISTRASI JAKARTA PUSAT PROVINSI DAERAH KHUSUS IBUKOTA JAKARTA TELP. 02131905971 EMAIL: PT.DIANTIRTAWISATA@GMAIL.COM,0,Detail
21,"PT FATHU MEKKAH TRAVEL
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","IZIN: 91202094110280002 (NOMOR U.457 TAHUN 2021)
TGL SK: 07-06-2024
DIREKTUR: ESTI KARTIKA DEWI","JALAN RAYA CEPRESAN - KLEGO, ANDONG KELURAHAN SUMBER AGUNG KECAMATAN KLEGO KABUPATEN BOYOLALI PROVINSI JAWA TENGAH. TELP. 081222434747 EMAIL: FATHUMEKKAH73@GMAIL.COM",0,Detail
22,"PT FAUZA WISATA IHSANI
Akreditasi: B
Tgl Akreditasi: 11-07-2023
Lembaga Akreditasi: PT IRQA INDONESIA
STATUS DAFTAR HITAM: TIDAK","NOMOR U.35 TAHUN 2021
TGL SK: 13-01-2021
DIREKTUR: NAZAMUDIN",JALAN RAYA PEMEPEK - SEPAKEK KILOMETER 18 RT. 01 RW. 00 KEL-DESA SEPAKEK KECAMATAN PRINGGARATA KABUPATEN . LOMBOK TENGAH NUSA TENGGARA BARAT KODE POS 83562 TELP. 03706630112 HP.082247229834 EMAIL: FAUZAWISATA@YAHOO.COM,4,Detail
23,"PT INDO 6STARS HOLIDAY TOURS
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","NOMOR U.446 TAHUN 2021
TGL SK: 14-10-2021
DIREKTUR: QURROTUN AYUNI RITONGA","KOMPLEK METLAND TRANSYOGI RUKO REDWOOD GD XV NO. 60, CILEUNGSI KIDUL, CILEUNGSI, KAB BOGOR JAWA BARAT TELP. 02122886589 EMAIL: INDO6STAR@GMAIL.COM",0,Detail
24,"PT JEDDAH GRUP
Akreditasi: A
Tgl Akreditasi: 23-06-2023
Lembaga Akreditasi: PT MUTU AGUNG LESTARI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.478 TAHUN 2021
TGL SK: 14-10-2021
DIREKTUR: NILASARI","MESJID RAYA SENGKANG BLOK. NO. 10, KELURAHAN SIENGKANG, KECAMATAN TEMPE, KABUPATEN WAJO, PROVINSI SULAWESI SELATAN TELP. 0485324421 EMAIL : INFO@JEDDAHGRUP.COM",0,Detail
25,"PT KAVAANA TOUR AND TRAVEL
Akreditasi: B
Tgl Akreditasi: 26-12-2023
Lembaga Akreditasi: PT TRIFOS INTERNATIONAL SERTIFIKASI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.190 TAHUN 2021
TGL SK: 01-04-2021
DIREKTUR: MUHAMMAD ZUBAD",JALAN GAMBIRAN NO 71 A RT-RW 033-009 KEL. PANDEYAN KEC. UMBULHARJO KOTA YOGYAKARTA PROVINSI DAERAH ISTIMEWA YOGYAKARTA TELP. 0274382334 EMAIL: TOURKAVAANA@GMAIL.COM,0,Detail
26,"PT MAHAKARYA SARANA INTERNASIONAL
Akreditasi: A
Tgl Akreditasi: 03-09-2024
Lembaga Akreditasi: equalindo
STATUS DAFTAR HITAM: TIDAK","91201056610190001 (NOMOR U.498 TAHUN 2021)
TGL SK: 24-10-2024
DIREKTUR: RAHADIAN FADHEL AMR ELFALAAH WARGADIWIJAYA",GOLDEN CITY BUSINESS PARK B-5 JL. KH HASYIM ASHARI NO. 118 CIPONDOH - TANGERANG PROVINSI BANTEN TELP. 08112019700 EMAIL : FADHELAMR@MAHAKARYAGROUP.COM,0,Detail
27,"PT MANASIK HAJI UMRAH
Akreditasi: A
Tgl Akreditasi: 11-06-2024
Lembaga Akreditasi: PT EKUALINDO ARTHA SINERGI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.44 TAHUN 2023 (NOMOR U.452 TAHUN 2021)
TGL SK: 14-04-2023
DIREKTUR: ALFITRA M. PIAMA",JALAN KAMBOJA NO.88 KELURAHAN SUKABUMI UTARA KECAMATAN PALMERAH KOTA JAKARTA BARAT PROVINSI DKI JAKARTA. TELEPON : 021197345 EMAIL : MANASIKHAJI2020@GMAIL.COM,0,Detail
28,"PT MECCA MANDIRI GRUP
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","91201170510040002
TGL SK: 30-12-2022
DIREKTUR: AHYARUDIN","RUKO GARDENIA BLOK RA-28 KAWASAN PESONA METROPOLITAN, JALAN SILIWANGI KM 7 RT-RW: 05-02, KELURAHAN BOJONG RAWALUMBU, KECAMATAN RAWALUMBU, KOTA BEKASI, JAWA BARAT MECCAMANDIRIGRUP@GMAIL.COM 081513832738",0,Detail
29,"PT MISFALAH OPERATOR INDONESIA
Akreditasi: A
Tgl Akreditasi: 26-10-2023
Lembaga Akreditasi: TIRTA MURNI SERTIFIKASI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.127 TAHUN 2021
TGL SK: 25-02-2021
DIREKTUR: MUHAMMAD KHOIRI",CAHAYA GARUDA RESIDENCE NO. 14 (SAMPING KAMPUS PPG UIN JAKARTA) JL. RAYA CIPUTAT-PARUNG RT/RW. 005/007 KELURAHAN BOJONGSARI BARU KECAMATAN BOJONGSARI KOTA DEPOK PROVINSI JAWA BARAT 16516 TELP. 02518601065 EMAIL: MO.INDONESIATRAVEL@GMAIL.COM,0,Detail
30,"PT MITRA BUANA FORESINDO
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","02022300346430001
TGL SK: 06-05-2023
DIREKTUR: ENTIP LATIFAH","JALAN PANGKALAN RAYA, NO.15 RT 002 RW 002, KELURAHAN CIBULUH, KECAMATAN BOGOR UTARA, KOTA BOGOR, JAWA BARAT. TELEPON : 087874790443 EMAIL : NIATMITRAUMRAH@GMAIL.COM",2,Detail
31,"PT MUKHTARA INDONESIA UTAMA
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","91201044207990001
TGL SK: 27-02-2024
DIREKTUR: MOHAMMAD FAUZI",JALAN HAYAM WURUK NO.8 RT 006 RW 001 KELURAHAN KALIWATES KECAMATAN KALIWATES KABUPATEN JEMBER PROVINSI JAWA TIMUR. TELEPON : 085738687268 EMAIL : MUKHTARAINDONESIAUTAMA@GMAIL.COM,0,Detail
32,"PT NOOR INSANI MANDIRI
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","24082200006670006
TGL SK: 27-02-2024
DIREKTUR: KALSUM PERMANA SH",RUKO BERLY COMMERCIAL NO.50 SUMMARECON RT-RW 00-00 KELURAHAN CISANTREN KIDUL KECAMATAN GEDEBAGE KOTA BANDUNG PROVINSI JAWA BARAT. TELEPON : 082219256075 EMAIL : MANDIRINOORINSANI@GMAIL.COM,0,Detail
33,"PT NUR HAMDALAH PRIMA WISATA
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","NOMOR U.491 TAHUN 2021
TGL SK: 08-11-2021
DIREKTUR: MOCH. AZHAR",I GUSTI NGURAH RAI A-2 NO. 8 PURIMAS RT. 01 RW. 07 GUNUNG ANYAR GUNUNG ANYAR KOTA SURABAYA JAWA TIMUR TELP. 0318783344 EMAIL : MANKBIHNURULHAYAT@GMAIL.COM,0,Detail
34,"PT RIHLAH MULTAZAM ALMUBAROQAH
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","91205078906780003
TGL SK: 31-10-2023
DIREKTUR: KHAIRUDDIN RAMLI","JALAN KLY SUDARYO NOMOR 24-P KELURAHAN PULO BERAYAN KTA, KECAMATAN MEDAN BARAT, KOTA MEDAN, SUMATERA UTARA. TELEPON : 081266862490 EMAIL : MIQBAL.KHAIRY@YAHOO.COM",0,Detail
35,"PT RUBI RESTU RABBANI
Akreditasi: B
Tgl Akreditasi: 23-10-2023
Lembaga Akreditasi: PT INTI MULTIMA SERTIFIKASI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.26 TAHUN 2021
TGL SK: 13-01-2021
DIREKTUR: EDWIN MIFTAHUDIN","KAWASAN METRO INDAH MALL BLOK I NO. 27 JL. SOEKARNO HATTA NO. 590, KEL. SEKEJATI, KEC. BUAHBATU, KOTA BANDUNG, PROV. JAWA BARAT TELP. 0227535733 EMAIL: HALLORUBITOUR@GMAIL.COM",0,Detail
36,"PT SAUDI AMANAH WISATA
Akreditasi: C
Tgl Akreditasi: 31-12-2020
Lembaga Akreditasi: -
STATUS DAFTAR HITAM: TIDAK","NOMOR U.560 TAHUN 2020
TGL SK: 31-12-2020
DIREKTUR: MUHAMMAD ASHAR TAMANGGONG",Jl Rsi Faisal Raya Ruko Ambasador No 1 Kelurahan Banta-Bantaeng Kecamatan Rappocini Kota Makassar Provinsi Sulawesi Selatan Telp. 0411878304 Email: saudiamanahwisata@gmail.com,0,Detail
37,"PT SENGKATI MUDO ABADI
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","13052200202780003
TGL SK: 24-09-2023
DIREKTUR: AULIA SINTA YULDA","DESA SENGKATI MUDO, KELURAHAN SENGKATI MUDO, KECAMATAN MERSAM, KABUPATEN BATANGHARI, PROVINSI JAMBI. TELEPON : 08127408684 EMAIL : SENGKATIMUDOABADI@GMAIL.COM",0,Detail
38,"PT TRAVELATAYA MANDIRI UTAMA
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","12090006335060003
TGL SK: 03-05-2024
DIREKTUR: HERMANSYAH","RUKO MALL BOTANIA GARDEN 2 BLOK A19 NOMOR 2, DESA-KELURAHAN BELIAN, KEC. BATAM KOTA, KOTA BATAM, PROVINSI KEPULAUAN RIAU, KODE POS: 29464",0,Detail
39,"PT UMRAH WISATA BERKAH
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","02200041619240003
TGL SK: 25-11-2022
DIREKTUR: URWATUL WIUSQA","JL. LOLONG KARAN NO.19 RT-RW 006-001, KELURAHAN SUNGAI SAPIH, KECAMATAN KURANJI, KOTA PADANG, PROVINSI SUMATERA BARAT. KODE POS 25158 TELEPON : 08116699949 EMAIL : UMRAHWISATABERKAH2019@GMAIL.COM",0,Detail
40,"PT. AAA MAKMUR ABADI
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","25012300733360002
TGL SK: 24-07-2024
DIREKTUR: EKA SUBAYANI","JALAN RAYA TUKUM NO. 45 RT-RW: 000-000, KELURAHAN TUKUM, KECAMATAN TEKUNG, KAB. LUMAJANG, JAWA TIMUR. TELEPON : 081289891989 EMAIL : PTAAAMAKMURABADI@GMAIL.COM",0,Detail
41,"PT. ABADI MULIA TOUR DAN TRAVEL
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","81203141621960005
TGL SK: 19-10-2022
DIREKTUR: ARIF RAMDANI","PERUM CIJERAH 2 BLIK SUKAMAJU NO 138 RT-RW: 004-006, KELURAHAN MELONG, KECAMATAN CIMAHI SELATAN, KOTA CIMAHI, JAWA BARAT EMAIL : MABADIBANDUNG22@GMAIL.COM TELP. 0220568886",0,Detail
42,"PT. ABADI TOUR DAN TRAVEL
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","02201023612730002
TGL SK: 14-01-2023
DIREKTUR: ANDIKA","JL. TAGARI LONJO NO. 47 RT-RW: 005-002, KELURAHAN DUYU, KECAMATAN TATANGA, KOTA PALU, SULAWESI TENGAH ANDIKA200004@GMAIL.COM 085299992535",0,Detail
43,"PT. ABAWAMI TOURS DAN TRAVEL
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","17122100365840003
TGL SK: 23-10-2024
DIREKTUR: RATNA SARI","""KAMPUNG PANDANSARI, RT. 001, RW. 002 RT-RW: 001-02, KELURAHAN PANDAN SARI, KECAMATAN CIAWI, KAB. BOGOR, JAWA BARAT"". TELEPON : 081290412735 EMAIL : ABAWAMITOURSTRAVEL@GMAIL.COM",0,Detail
44,"PT. ABBY BERKAH MAKMUR JAYA
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","02112200582070002
TGL SK: 09-01-2024
DIREKTUR: VEBBY TOYBAH","JL. KRAMAT KWITANG III NO. 158 RT-RW: 000-000, KELURAHAN KWITANG, KECAMATAN SENEN, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA. TELEPON : 089660005253 EMAIL : ABBYTOURWISATA@GMAIL.COM",0,Detail
45,"PT. ABDI UMAT WISATA INTERNATIONAL
Akreditasi: B
Tgl Akreditasi: 29-09-2017
Lembaga Akreditasi: Kementerian Agama
STATUS DAFTAR HITAM: TIDAK","NOMOR 891 TAHU 2017
TGL SK: 23-10-2017
DIREKTUR: DRS. ATIK MULYANTO","JL. LAPANGAN TEMBAK NO. 39 LT. 1, RT-RW. 001-009, KEL. CIBUBUR, KEC. CIRACAS, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA, TELP. (021) 87721117-18, FAX. (021) 87721119, EMAIL: HAJI.ATTINTOUR@YAHOO.COM",0,Detail
46,"PT. ABDUL GHANI CAHAYA ALBARKAH
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","28112300917020003
TGL SK: 07-06-2024
DIREKTUR: H. ISMAIL","RUKAN THE WALK 28 RT-RW: 006-014, KELURAHAN CAKUNG TIMUR, KECAMATAN CAKUNG, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA. TELEPON : 082133338421 EMAIL : AGC.ALBARKAH@GMAIL.COM",0,Detail
47,"PT. ABDURAHMAN SETONG TELO SANGA
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","14072301220430004
TGL SK: 02-10-2024
DIREKTUR: H MOHAMMAD HASAN","JALAN RAYA BEKASI, KP PERTUKANGAN, RT-RW. 001-005 RT-RW: 001-005, KELURAHAN RAWA TERATE, KECAMATAN CAKUNG, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA. TELEPON : 0214809890 EMAIL : ABDURAHMANSETONGTELOSANGA@GMAIL.COM",0,Detail
48,"PT. ABECE MITRASANJAYA
Akreditasi: B
Tgl Akreditasi: 06-10-2020
Lembaga Akreditasi: PT. SERTIFIKASI COHESPA INDONESIA
STATUS DAFTAR HITAM: TIDAK","NOMOR 427 TAHUN 2017
TGL SK: 15-06-2017
DIREKTUR: BALGIS NDK, SE, MSI","JL. GAYUNGSARI IX-20, KEL. GAYUNGAN, KEC. GAYUNGAN, KOTA SURABAYA, JAWA TIMUR, TELP. (031) 8271069, EMAIL: BALQISABECE@YAHOO.COM",0,Detail
49,"PT. ABEED UNIVERSAL TOUR DAN TRAVEL
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","02201018107430002
TGL SK: 28-01-2024
DIREKTUR: HENDRI CHUMAYDY","JL. RAYA PABEAN NO. 24 RT-RW: 017-007, KELURAHAN PABEAN, KECAMATAN SEDATI, KAB. SIDOARJO, JAWA TIMUR. TELEPON : 0318678868 EMAIL : ABEEDUNIVERSAL@GMAIL.COM",0,Detail
50,"PT. ABEL JAYA MANDIRI
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","81200121518520004
TGL SK: 08-09-2023
DIREKTUR: ABDULLAH","GRAHA JUANDA BLOK F NOMOR 7 RT-RW: 026-005, KELURAHAN DAMARSI, KECAMATAN BUDURAN, KAB. SIDOARJO, JAWA TIMUR. TELEPON : 085102411304 EMAIL : ABELJAYA.PT@GMAIL.COM",0,Detail
